week,key,sales,promo,price
2024-01-01,store_1,870,0,10.2
2024-01-01,store_2,940,1,11.1
2024-01-01,store_3,820,0,9.8
2024-01-01,store_4,780,1,9.9
2024-01-01,store_5,900,0,10.3
2024-01-08,store_1,880,1,10.5
2024-01-08,store_2,950,0,11.3
2024-01-08,store_3,830,1,10.1
2024-01-08,store_4,790,0,10.2
2024-01-08,store_5,910,1,10.6
2024-01-15,store_1,890,0,10.7
2024-01-15,store_2,960,1,11.5
2024-01-15,store_3,840,0,10.3
2024-01-15,store_4,800,1,10.4
2024-01-15,store_5,920,0,10.8
2024-01-22,store_1,900,1,10.9
2024-01-22,store_2,970,0,11.7
2024-01-22,store_3,850,1,10.5
2024-01-22,store_4,810,0,10.6
2024-01-22,store_5,930,1,11.0
2024-01-29,store_1,910,0,11.1
2024-01-29,store_2,980,1,11.9
2024-01-29,store_3,860,0,10.7
2024-01-29,store_4,820,1,10.8
2024-01-29,store_5,940,0,11.2
2024-02-05,store_1,920,1,11.3
2024-02-05,store_2,990,0,12.1
2024-02-05,store_3,870,1,10.9
2024-02-05,store_4,830,0,11.0
2024-02-05,store_5,950,1,11.4
2024-02-12,store_1,930,0,11.5
2024-02-12,store_2,1000,1,12.3
2024-02-12,store_3,880,0,11.1
2024-02-12,store_4,840,1,11.2
2024-02-12,store_5,960,0,11.6
